# algorithm=org.fhcrc.cpl.viewer.feature.extraction.FeatureFinder
# date=Fri Mar 14 09:31:05 PDT 2008
# java.vendor=Sun Microsystems Inc.
# java.version=1.6.0_02
# revision=6674
# user.name=Dave
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	description
106	1555.933	791.9026	true	1581.7906	8.974578	2	1	0.6341743	2.6509461	2.001863	2	101	112	12	100.883125	
209	1677.258	703.37787	true	1404.7412	8.959682	2	1	0.523016	2.9025466	1.3871868	2	206	212	7	58.15871	
214	1684.333	994.9747	true	1987.9348	8.903561	2	1	0.26269144	2.7133667	1.4830724	3	207	219	13	127.87867	
245	1720.138	737.3378	true	1472.6611	8.836066	2	1	0.16278002	1.047459	1.3681198	3	241	249	9	69.46719	
110	1560.348	849.91	true	1697.8054	8.831498	2	1	0.7482695	4.6714315	1.0736455	2	92	115	24	231.62288	
202	1669.521	700.0882	true	699.08093	8.662958	1	1	0.30464438	0.47092602	0.9106002	3	196	207	12	92.130394	
244	1719.031	729.86505	true	1457.7156	8.528742	2	1	0.12952994	0.8813745	1.502022	3	241	247	7	55.766895	
261	1739.372	725.8032	true	1449.5919	8.493132	2	1	0.13496591	1.1273366	1.2989447	3	258	268	11	84.25517	
268	1747.112	817.925	true	1633.8354	7.8729796	2	1	0.11579679	0.9019373	1.552996	3	266	270	5	42.611664	
161	1621.131	940.4458	true	1878.8771	7.829495	2	1	0.8505102	2.8476315	1.4530295	2	158	162	5	35.482746	
185	1649.19	789.3654	true	0.0	7.8180256	0	1	-1.0	2.3622622	1.7839352	1	183	187	5	39.11734	
202	1669.521	705.1451	true	0.0	7.7948217	0	1	-1.0	1.2897656	1.441808	1	197	207	11	80.135124	
241	1715.713	713.4522	true	712.44495	7.6235814	1	1	0.15759718	1.1829581	1.6001912	2	237	244	8	59.78664	
246	1721.241	719.389	true	1436.7634	7.1339	2	1	0.49832055	1.8269055	1.2061229	2	242	248	7	51.847046	
272	1753.085	713.85443	true	712.84717	7.049904	1	1	0.13535441	1.5644368	1.0592989	2	266	277	12	95.70477	
190	1654.717	703.33856	true	1404.6626	6.945078	2	1	0.4422367	2.9655201	1.0980151	2	187	194	8	58.475906	
232	1704.224	769.0161	true	2304.0266	6.289796	3	1	0.33241156	3.0169685	1.2757943	3	228	235	8	62.69944	
224	1695.389	725.39374	true	2173.1594	6.278867	3	1	0.2767084	1.6497655	1.2496755	3	221	229	9	55.546417	
249	1724.5541	773.4222	true	1544.8298	5.9057474	2	1	0.5105971	0.67020833	1.4744527	2	246	250	5	29.369175	
